frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,1.00,1.00,-0.01
1,1,1,1.00,1.00,-0.01
2,1,1,1.00,1.00,-0.01
3,1,1,1.00,1.00,-0.02
4,1,1,1.00,1.00,-0.02
5,1,1,1.00,1.00,-0.02
6,1,1,1.00,1.00,-0.01
7,1,1,1.00,1.00,-0.01
8,1,1,1.00,1.00,-0.01
9,1,1,1.00,1.00,-0.02
10,1,1,1.00,1.00,-0.02
11,1,1,1.00,1.00,-0.02
12,1,1,1.00,1.00,-0.02
13,1,1,1.00,1.00,-0.02
14,1,1,1.00,1.00,-0.02
15,1,1,1.00,1.00,-0.02
16,1,1,1.00,1.00,-0.02
17,1,1,1.00,1.00,-0.02
18,1,1,1.00,1.00,-0.02
19,1,1,1.00,1.00,-0.02
20,1,1,1.00,1.00,-0.03
21,1,1,1.00,1.00,-0.03
22,1,1,1.00,1.00,-0.02
23,1,1,1.00,1.00,-0.02
24,1,1,1.00,1.00,-0.03
25,1,1,1.00,1.00,-0.04
26,1,1,1.00,1.00,-0.05
27,1,1,1.00,1.00,-0.06
28,1,1,1.00,1.00,-0.06
29,1,1,1.00,1.00,-0.06
30,1,1,1.00,1.00,-0.05
31,1,1,1.00,1.00,-0.04
32,1,1,1.00,1.00,-0.03
33,1,1,1.00,1.00,-0.03
34,1,1,1.00,1.00,-0.04
35,1,1,1.00,1.00,-0.05
36,1,1,1.00,1.00,-0.05
37,1,1,1.00,1.00,-0.05
38,1,1,1.00,1.00,-0.05
39,1,1,1.00,1.00,-0.06
40,1,1,1.00,1.00,-0.07
41,1,1,1.00,1.00,-0.07
42,1,1,1.00,1.00,-0.06
43,1,1,1.00,1.00,-0.04
44,1,1,1.00,1.00,-0.03
45,1,1,1.00,1.00,-0.00
46,1,1,1.00,0.92,0.02
47,1,1,1.00,0.57,0.04
48,1,1,1.00,0.98,0.02
49,1,1,1.00,0.79,-0.00
50,1,1,1.00,1.00,-0.02
51,1,1,1.00,1.00,-0.03
52,1,1,0.97,0.92,-0.05
53,1,1,0.93,0.92,-0.06
54,1,1,1.00,1.00,-0.03
55,1,1,1.00,1.00,-0.01
56,1,1,1.00,1.00,0.01
57,1,1,1.00,1.00,0.04
58,1,1,1.00,1.00,0.06
59,1,1,1.00,1.00,0.09
60,1,1,1.00,1.00,0.13
61,1,1,1.00,0.94,0.15
62,1,1,0.91,0.87,0.14
63,1,1,0.81,0.77,0.14
64,1,1,0.71,0.67,0.14
65,1,1,0.61,0.57,0.14
66,1,1,0.51,0.47,0.14
67,1,1,0.41,0.37,0.14
68,1,1,0.53,0.14,0.19
69,1,1,0.87,1.00,0.19
70,1,1,1.00,1.00,0.18
71,1,1,1.00,1.00,0.20
72,1,1,1.00,1.00,0.21
73,1,1,1.00,1.00,0.21
74,1,1,1.00,0.80,0.22
75,1,1,1.00,0.46,0.23
76,1,1,0.90,0.36,0.23
77,1,1,0.80,0.26,0.23
78,1,1,0.70,0.16,0.23
79,1,1,0.60,0.06,0.23
80,1,1,0.50,0.00,0.23
81,1,1,0.40,0.00,0.23
82,1,1,0.88,1.00,0.09
83,1,1,0.78,0.90,0.09
84,1,1,0.68,0.80,0.09
85,1,1,0.58,0.70,0.09
86,1,1,0.48,0.60,0.09
87,1,1,0.38,0.50,0.09
88,1,1,0.28,0.40,0.09
89,1,1,0.18,0.30,0.09
90,1,1,0.08,0.20,0.09
91,1,1,1.00,0.69,-0.07
92,1,1,1.00,0.58,-0.21
93,1,1,1.00,0.58,-0.34
94,1,1,1.00,0.36,-0.46
95,1,1,1.00,0.33,-0.56
96,1,1,0.90,0.23,-0.56
97,1,1,0.80,0.13,-0.56
98,1,1,0.70,0.03,-0.56
99,1,1,0.76,1.00,-0.49
100,1,1,0.87,1.00,-0.43
101,1,1,1.00,1.00,-0.37
102,1,1,1.00,0.76,-0.32
103,1,1,1.00,0.39,-0.28
104,1,1,0.90,0.29,-0.28
105,1,1,0.80,0.19,-0.28
106,1,1,0.70,0.09,-0.28
107,1,1,0.60,0.00,-0.28
108,1,1,1.00,1.00,-0.24
109,1,1,0.90,0.90,-0.24
110,1,1,1.00,1.00,-0.22
111,1,1,1.00,1.00,-0.19
112,1,1,1.00,1.00,-0.16
113,1,1,1.00,1.00,-0.13
114,1,1,1.00,1.00,-0.11
115,1,1,1.00,1.00,-0.09
116,1,1,0.90,0.90,-0.09
117,1,1,0.80,0.80,-0.09
118,1,1,0.70,0.70,-0.09
119,1,1,1.00,0.15,-0.22
120,1,1,1.00,0.89,-0.21
121,1,1,1.00,1.00,-0.18
122,1,1,1.00,1.00,-0.16
123,1,1,0.90,0.90,-0.16
124,1,1,1.00,1.00,-0.13
125,1,1,1.00,1.00,-0.11
126,1,1,1.00,1.00,-0.10
127,1,1,1.00,1.00,-0.08
128,1,1,1.00,1.00,-0.06
129,1,1,0.90,0.90,-0.06
130,1,1,0.80,0.80,-0.06
131,1,1,0.70,0.70,-0.06
132,1,1,0.60,0.60,-0.06
133,1,1,1.00,0.00,0.10
134,1,1,1.00,0.00,0.25
135,1,1,0.90,0.00,0.25
136,1,1,0.80,0.00,0.25
137,1,1,0.70,0.00,0.25
138,1,1,0.60,0.00,0.25
139,1,1,0.50,0.00,0.25
140,1,1,0.40,0.00,0.25
141,1,1,0.30,0.00,0.25
142,1,1,1.00,0.00,0.29
143,1,1,0.90,0.00,0.29
144,1,1,0.80,0.00,0.29
145,1,1,0.70,0.00,0.29
146,1,1,0.60,0.00,0.29
147,1,1,0.50,0.00,0.29
148,1,1,0.40,0.00,0.29
149,1,1,0.30,0.00,0.29
150,1,1,0.86,0.53,0.43
151,1,1,1.00,0.86,0.53
152,1,1,0.90,0.76,0.53
153,1,1,0.80,0.66,0.53
154,1,1,0.70,0.56,0.53
155,1,1,0.60,0.46,0.53
156,1,1,1.00,1.00,0.48
157,1,1,1.00,1.00,0.44
158,1,1,1.00,0.60,0.40
159,1,1,1.00,0.21,0.37
160,1,1,0.90,0.11,0.37
161,1,1,1.00,0.55,0.31
162,1,1,1.00,1.00,0.28
163,1,1,1.00,1.00,0.26
164,1,1,1.00,1.00,0.24
165,1,1,1.00,1.00,0.22
166,1,1,1.00,1.00,0.21
167,1,1,1.00,1.00,0.19
168,1,1,1.00,1.00,0.18
169,1,1,1.00,1.00,0.18
170,1,1,1.00,1.00,0.17
171,1,1,1.00,0.76,0.17
172,1,1,1.00,0.39,0.17
173,1,1,0.90,0.29,0.17
174,1,1,1.00,0.09,0.16
175,1,1,0.90,0.00,0.16
176,1,1,1.00,1.00,0.15
177,1,1,1.00,1.00,0.15
178,1,1,1.00,1.00,0.15
179,1,1,1.00,1.00,0.16
180,1,1,1.00,1.00,0.15
181,1,1,1.00,1.00,0.15
182,1,1,1.00,1.00,0.15
183,1,1,1.00,1.00,0.15
184,1,1,1.00,1.00,0.15
185,1,1,1.00,0.86,0.15
186,1,1,1.00,0.40,0.15
187,1,1,0.90,0.30,0.15
188,1,1,0.80,0.20,0.15
189,1,1,0.70,0.10,0.15
190,1,1,1.00,1.00,0.15
191,1,1,0.90,0.90,0.15
192,1,1,1.00,1.00,0.15
193,1,1,1.00,1.00,0.15
194,1,1,1.00,1.00,0.15
195,1,1,1.00,1.00,0.15
196,1,1,1.00,1.00,0.15
197,1,1,1.00,1.00,0.15
198,1,1,1.00,0.96,0.15
199,1,1,1.00,0.57,0.15
200,1,1,0.90,0.47,0.15
201,1,1,0.80,0.37,0.15
202,1,1,1.00,0.51,0.15
203,1,1,1.00,1.00,0.15
204,1,1,1.00,1.00,0.15
205,1,1,1.00,1.00,0.15
206,1,1,1.00,1.00,0.16
207,1,1,0.90,0.90,0.16
208,1,1,0.80,0.80,0.16
209,1,1,0.70,0.70,0.16
210,1,1,1.00,1.00,0.16
211,1,1,1.00,1.00,0.16
212,1,1,1.00,0.85,0.17
213,1,1,1.00,0.51,0.17
214,1,1,0.90,0.41,0.17
215,1,1,1.00,0.11,0.16
216,1,1,0.90,0.01,0.16
217,1,1,0.80,0.00,0.16
218,1,1,0.70,0.00,0.16
219,1,1,0.60,0.00,0.16
220,1,1,1.00,1.00,0.16
221,1,1,1.00,1.00,0.15
222,1,1,1.00,1.00,0.15
223,1,1,1.00,1.00,0.15
224,1,1,1.00,1.00,0.15
225,1,1,1.00,1.00,0.16
226,1,1,1.00,0.67,0.16
227,1,1,1.00,0.37,0.17
228,1,1,0.90,0.27,0.17
229,1,1,1.00,0.48,0.17
230,1,1,1.00,0.99,0.18
231,1,1,1.00,1.00,0.18
232,1,1,1.00,1.00,0.18
233,1,1,1.00,1.00,0.18
234,1,1,1.00,1.00,0.17
235,1,1,0.90,0.90,0.17
236,1,1,1.00,1.00,0.17
237,1,1,1.00,1.00,0.18
238,1,1,0.90,0.90,0.18
239,1,1,1.00,0.86,0.18
240,1,1,1.00,0.52,0.18
241,1,1,1.00,0.30,0.18
242,1,1,1.00,0.11,0.16
243,1,1,0.90,0.01,0.16
244,1,1,1.00,1.00,0.17
245,1,1,1.00,1.00,0.17
246,1,1,1.00,1.00,0.17
247,1,1,1.00,1.00,0.15
248,1,1,1.00,1.00,0.15
249,1,1,1.00,1.00,0.14
250,1,1,1.00,1.00,0.14
251,1,1,1.00,1.00,0.14
252,1,1,0.90,0.90,0.14
253,1,1,0.80,0.80,0.14
254,1,1,0.70,0.70,0.14
255,1,1,0.60,0.60,0.14
256,1,1,0.50,0.50,0.14
257,1,1,1.00,0.37,0.12
258,1,1,1.00,1.00,0.13
259,1,1,1.00,1.00,0.13
260,1,1,1.00,1.00,0.13
261,1,1,1.00,1.00,0.13
262,1,1,1.00,1.00,0.12
263,1,1,1.00,1.00,0.12
264,1,1,1.00,1.00,0.12
265,1,1,1.00,1.00,0.12
266,1,1,1.00,1.00,0.13
267,1,1,0.90,0.90,0.13
268,1,1,0.80,0.80,0.13
269,1,1,1.00,0.20,0.13
270,1,1,0.90,0.10,0.13
271,1,1,1.00,0.71,0.13
272,1,1,1.00,1.00,0.13
273,1,1,1.00,1.00,0.14
274,1,1,1.00,1.00,0.13
275,1,1,1.00,1.00,0.12
276,1,1,1.00,1.00,0.11
277,1,1,1.00,1.00,0.11
278,1,1,1.00,1.00,0.12
279,1,1,1.00,1.00,0.12
280,1,1,1.00,1.00,0.13
281,1,1,1.00,0.74,0.13
282,1,1,1.00,0.40,0.13
283,1,1,0.90,0.30,0.13
284,1,1,1.00,0.23,0.14
285,1,1,0.90,0.13,0.14
286,1,1,0.80,0.03,0.14
287,1,1,1.00,1.00,0.15
288,1,1,1.00,1.00,0.15
289,1,1,1.00,1.00,0.15
290,1,1,1.00,1.00,0.15
291,1,1,1.00,1.00,0.15
292,1,1,1.00,1.00,0.15
293,1,1,1.00,1.00,0.15
294,1,1,0.90,0.90,0.15
295,1,1,0.80,0.80,0.15
296,1,1,0.70,0.70,0.15
297,1,1,0.60,0.60,0.15
298,1,1,0.50,0.50,0.15
299,1,1,0.40,0.40,0.15
300,1,1,1.00,1.00,0.16
301,1,1,1.00,1.00,0.16
302,1,1,0.90,0.90,0.16
303,1,1,1.00,1.00,0.16
304,1,1,1.00,1.00,0.16
305,1,1,1.00,1.00,0.16
306,1,1,1.00,1.00,0.17
307,1,1,1.00,1.00,0.17
308,1,1,0.90,0.90,0.17
309,1,1,0.80,0.80,0.17
310,1,1,0.70,0.70,0.17
311,1,1,0.60,0.60,0.17
312,1,1,1.00,0.07,0.16
313,1,1,1.00,0.61,0.17
314,1,1,0.90,0.51,0.17
315,1,1,0.80,0.41,0.17
316,1,1,0.70,0.31,0.17
317,1,1,1.00,1.00,0.18
318,1,1,1.00,1.00,0.19
319,1,1,1.00,1.00,0.20
320,1,1,1.00,1.00,0.20
321,1,1,1.00,1.00,0.20
322,1,1,1.00,0.94,0.20
323,1,1,1.00,0.62,0.20
324,1,1,1.00,0.28,0.19
325,1,1,1.00,0.07,0.19
326,1,1,1.00,0.26,0.19
327,1,1,1.00,0.99,0.19
328,1,1,1.00,1.00,0.19
329,1,1,1.00,1.00,0.19
330,1,1,0.90,0.90,0.19
331,1,1,1.00,1.00,0.18
332,1,1,1.00,1.00,0.18
333,1,1,1.00,1.00,0.18
334,1,1,1.00,1.00,0.17
335,1,1,1.00,1.00,0.17
336,1,1,1.00,1.00,0.17
337,1,1,1.00,0.55,0.17
338,1,1,1.00,0.27,0.17
339,1,1,0.90,0.17,0.17
340,1,1,0.80,0.07,0.17
341,1,1,1.00,1.00,0.16
342,1,1,1.00,1.00,0.16
343,1,1,1.00,1.00,0.16
344,1,1,1.00,1.00,0.16
345,1,1,1.00,1.00,0.17
346,1,1,1.00,1.00,0.17
347,1,1,1.00,1.00,0.17
348,1,1,1.00,1.00,0.17
349,1,1,1.00,1.00,0.18
350,1,1,1.00,0.82,0.18
351,1,1,1.00,0.51,0.18
352,1,1,1.00,0.21,0.18
353,1,1,0.90,0.11,0.18
354,1,1,1.00,0.51,0.18
355,1,1,1.00,1.00,0.18
356,1,1,1.00,1.00,0.18
357,1,1,1.00,1.00,0.18
358,1,1,1.00,1.00,0.18
359,1,1,1.00,1.00,0.18
360,1,1,1.00,1.00,0.18
361,1,1,1.00,1.00,0.18
362,1,1,1.00,1.00,0.18
363,1,1,1.00,1.00,0.18
364,1,1,1.00,0.85,0.18
365,1,1,1.00,0.44,0.18
366,1,1,1.00,0.16,0.18
367,1,1,1.00,0.76,0.18
368,1,1,1.00,1.00,0.18
369,1,1,1.00,1.00,0.18
370,1,1,1.00,1.00,0.19
371,1,1,1.00,1.00,0.19
372,1,1,1.00,1.00,0.18
373,1,1,1.00,1.00,0.18
374,1,1,1.00,1.00,0.18
375,1,1,1.00,1.00,0.18
376,1,1,1.00,1.00,0.19
377,1,1,1.00,1.00,0.20
378,1,1,1.00,0.98,0.20
379,1,1,1.00,0.53,0.20
380,1,1,1.00,0.17,0.21
381,1,1,0.90,0.07,0.21
382,1,1,1.00,0.55,0.20
383,1,1,1.00,1.00,0.21
384,1,1,1.00,1.00,0.21
385,1,1,1.00,1.00,0.22
386,1,1,1.00,1.00,0.23
387,1,1,1.00,1.00,0.25
388,1,1,1.00,1.00,0.27
389,1,1,1.00,1.00,0.28
390,1,1,1.00,1.00,0.28
391,1,1,1.00,1.00,0.29
392,1,1,1.00,0.91,0.29
393,1,1,1.00,0.61,0.29
394,1,1,1.00,0.16,0.30
395,1,1,1.00,0.11,0.30
396,1,1,1.00,0.81,0.30
397,1,1,1.00,1.00,0.30
398,1,1,1.00,1.00,0.30
399,1,1,1.00,1.00,0.31
400,1,1,1.00,1.00,0.30
401,1,1,1.00,1.00,0.30
402,1,1,1.00,1.00,0.30
403,1,1,1.00,1.00,0.30
404,1,1,1.00,1.00,0.30
405,1,1,1.00,1.00,0.30
406,1,1,1.00,0.67,0.30
407,1,1,1.00,0.32,0.29
408,1,1,0.90,0.22,0.29
409,1,1,0.80,0.12,0.29
410,1,1,0.70,0.02,0.29
411,1,1,0.60,0.00,0.29
412,1,1,0.50,0.00,0.29
413,1,1,0.40,0.00,0.29
414,1,1,1.00,1.00,0.29
415,1,1,1.00,1.00,0.29
416,1,1,1.00,1.00,0.28
417,1,1,1.00,1.00,0.27
418,1,1,1.00,1.00,0.26
419,1,1,1.00,1.00,0.26
420,1,1,1.00,0.63,0.25
421,1,1,1.00,0.33,0.24
422,1,1,0.90,0.23,0.24
423,1,1,0.80,0.13,0.24
424,1,1,0.70,0.03,0.24
425,1,1,0.60,0.00,0.24
426,1,1,0.50,0.00,0.24
427,1,1,0.40,0.00,0.24
428,1,1,1.00,1.00,0.21
429,1,1,1.00,1.00,0.20
430,1,1,1.00,1.00,0.18
431,1,1,1.00,1.00,0.17
432,1,1,1.00,1.00,0.16
433,1,1,1.00,1.00,0.16
434,1,1,1.00,0.93,0.15
435,1,1,0.90,0.83,0.15
436,1,1,0.80,0.73,0.15
437,1,1,0.70,0.63,0.15
438,1,1,0.60,0.53,0.15
439,1,1,0.50,0.43,0.15
440,1,1,0.40,0.33,0.15
441,1,1,0.30,0.23,0.15
442,1,1,1.00,0.48,0.12
443,1,1,1.00,0.44,0.10
444,1,1,0.90,0.34,0.10
445,1,1,1.00,1.00,0.08
446,1,1,1.00,1.00,0.08
447,1,1,1.00,1.00,0.06
448,1,1,1.00,0.78,0.05
449,1,1,0.90,0.68,0.05
450,1,1,0.80,0.58,0.05
451,1,1,0.70,0.48,0.05
452,1,1,0.60,0.38,0.05
453,1,1,0.50,0.28,0.05
454,1,1,0.40,0.18,0.05
455,1,1,0.30,0.08,0.05
456,1,1,0.20,0.00,0.05
457,1,1,1.00,1.00,0.00
458,1,1,1.00,1.00,-0.03
459,1,1,1.00,1.00,-0.04
460,1,1,1.00,1.00,-0.04
461,1,1,1.00,1.00,-0.05
462,1,1,1.00,1.00,-0.04
463,1,1,1.00,0.76,-0.04
464,1,1,0.90,0.66,-0.04
465,1,1,1.00,1.00,-0.08
466,1,1,0.90,0.90,-0.08
467,1,1,0.80,0.80,-0.08
468,1,1,0.70,0.70,-0.08
469,1,1,0.60,0.60,-0.08
470,1,1,0.50,0.50,-0.08
471,1,1,1.00,1.00,-0.11
472,1,1,1.00,1.00,-0.14
473,1,1,1.00,1.00,-0.15
474,1,1,1.00,1.00,-0.15
475,1,1,1.00,1.00,-0.14
476,1,1,0.90,0.90,-0.14
477,1,1,1.00,0.77,-0.14
478,1,1,0.90,0.67,-0.14
479,1,1,0.80,0.57,-0.14
480,1,1,0.70,0.47,-0.14
481,1,1,0.60,0.37,-0.14
482,1,1,0.50,0.27,-0.14
483,1,1,0.40,0.17,-0.14
